ID,workWithTB,workInPH,Question,Response,profession,phRole,employer,clinician
ID_01,Yes,Yes,Q11Bopt3,1,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q16Aopt5,4,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q16Aopt3,5,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q22Aopt3,Agree,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q24Aopt3,1,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q6Aopt2,1,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q16Aopt4,1,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q24Aopt2,2,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q20Aopt2,Agree,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q2Copt3,NA,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q20Aopt3,Agree,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q10Aopt1,Full Name (Ex. Susceptible; Resistant; Unknown),Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q6Aopt1,3,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q11Bopt4,NA,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q14Aopt3,3,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q2Copt4,NA,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_02,Yes,No,Q20Aopt3,Agree,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q20Aopt4,Agree,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q20Aopt1,Agree,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q6Aopt2,1,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q20Aopt2,Agree,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q19opt1,B (Two column),Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q12Aopt4,3,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q5Aopt1,A (with bolding),Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q24Aopt2,2,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q10Aopt1,Full Name (Ex. Susceptible; Resistant; Unknown),Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q16Aopt3,5,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q14Aopt1,1,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q16Aopt2,2,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q2Copt3,NA,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q12Aopt3,1,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q6Aopt1,2,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q2Copt2,NA,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q21Aopt1,Agree,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q2Copt4,NA,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q11Bopt3,NA,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q21Aopt2,Agree,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q24Aopt1,1,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q9Aopt1,Full Name (Ex. isoniazid),Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q2Copt1,NA,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q11Aopt1,Yes; but on the other side of the report,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q7Aopt1,A (Full sentence),Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q11Bopt2,NA,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q6Aopt4,4,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q14Aopt3,2,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q17Aopt3,4,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q16Aopt1,3,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q11Bopt1,1,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q16Aopt4,4,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q17Aopt4,6,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q23Aopt1,Neutral,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q12Aopt2,2,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q24Aopt4,4,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q14Aopt2,3,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q21Aopt3,Agree,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q17Aopt2,3,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q13Aopt2,2,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q6Aopt3,3,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q21Aopt4,Agree,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q8Aopt1,3,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q24Aopt3,3,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q11Bopt5,NA,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q16Aopt5,1,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q15Aopt1,A (Percent match),Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q11Bopt4,NA,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q22Aopt3,Neutral,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q23Aopt2,Neutral,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q17Aopt1,2,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q22Aopt4,Neutral,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q17Aopt6,1,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q22Aopt2,Neutral,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q13Aopt1,3,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q12Aopt1,4,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q23Aopt4,Neutral,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q8Aopt4,4,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q18opt1,A (Summary statement),Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q8Aopt3,1,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q13Aopt3,1,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q23Aopt3,Neutral,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q22Aopt1,Agree,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q8Aopt2,2,Physician,Non-Micro,Hospital,Physician
ID_02,Yes,No,Q17Aopt5,5,Physician,Non-Micro,Hospital,Physician
ID_03,Yes,No,Q20Aopt1,Neutral,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q19opt1,A (One column),Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q24Aopt2,3,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q20Aopt2,Agree,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q9Aopt1,Full Name (Ex. isoniazid),Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q20Aopt4,Agree,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q20Aopt3,Agree,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q21Aopt2,Agree,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q12Aopt3,2,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q12Aopt4,3,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q22Aopt4,Agree,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q13Aopt1,3,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q14Aopt1,2,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q14Aopt3,1,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q16Aopt4,1,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q17Aopt4,1,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q5Aopt1,A (with bolding),Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q14Aopt2,3,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q24Aopt1,4,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q15Aopt1,B (Organism name),Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q17Aopt3,3,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q17Aopt1,5,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q17Aopt2,6,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q21Aopt4,Agree,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q12Aopt1,4,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q18opt1,A (Summary statement),Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q22Aopt2,Agree,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q23Aopt1,Strongly Agree,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q8Aopt4,3,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q16Aopt3,5,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q22Aopt3,Agree,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q8Aopt1,4,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q16Aopt5,2,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q13Aopt2,2,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q13Aopt3,1,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q23Aopt4,Agree,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q16Aopt2,3,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q21Aopt1,Agree,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q2Copt2,NA,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q6Aopt2,1,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q22Aopt1,Neutral,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q6Aopt1,3,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q12Aopt2,1,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q23Aopt3,Strongly Agree,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q17Aopt6,2,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q23Aopt2,Agree,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q10Aopt1,Full Name (Ex. Susceptible; Resistant; Unknown),Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q11Bopt3,NA,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q2Copt1,NA,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q8Aopt3,2,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q11Bopt2,NA,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q11Bopt5,1,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q2Copt3,NA,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q7Aopt1,B (Summary),Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q17Aopt5,4,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q11Bopt4,1,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q24Aopt4,1,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q21Aopt3,Neutral,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q11Bopt1,NA,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q8Aopt2,1,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q16Aopt1,4,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q24Aopt3,2,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q2Copt4,NA,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q11Aopt1,Yes; but on the other side of the report,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q6Aopt3,2,Nurse,Non-Micro,Hospital,Non-Physician
ID_03,Yes,No,Q6Aopt4,4,Nurse,Non-Micro,Hospital,Non-Physician
ID_04,Yes,Yes,Q21Aopt4,Agree,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q20Aopt1,Neutral,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q24Aopt3,4,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q9Aopt1,Full Name (Ex. isoniazid),Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q19opt1,B (Two column),Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q21Aopt2,Strongly Agree,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q8Aopt1,3,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q22Aopt3,Agree,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q20Aopt2,Strongly Agree,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q16Aopt4,1,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q17Aopt6,3,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q20Aopt4,Agree,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q14Aopt2,1,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q14Aopt3,2,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q17Aopt3,5,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q22Aopt2,Strongly Agree,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q12Aopt4,3,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q8Aopt4,4,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q6Aopt2,2,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q20Aopt3,Disagree,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q17Aopt1,2,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q12Aopt1,4,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q18opt1,B (No summary Statement),Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q22Aopt1,Agree,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q14Aopt1,3,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q15Aopt1,A (Percent match),Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q17Aopt2,4,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q21Aopt3,Neutral,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q23Aopt1,Agree,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q8Aopt3,1,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q16Aopt3,5,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q23Aopt4,Agree,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q12Aopt3,1,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q6Aopt1,4,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q23Aopt2,Strongly Agree,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q24Aopt2,2,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q24Aopt1,3,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q2Copt2,NA,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q5Aopt1,They are equally informative.,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q16Aopt2,3,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q17Aopt4,1,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q17Aopt5,6,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q21Aopt1,Neutral,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q22Aopt4,Agree,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q11Bopt3,1,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q8Aopt2,2,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q16Aopt1,2,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q24Aopt4,1,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q2Copt3,NA,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q23Aopt3,Agree,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q11Bopt1,1,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q11Bopt2,1,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q10Aopt1,Full Name (Ex. Susceptible; Resistant; Unknown),Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q6Aopt4,3,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q16Aopt5,4,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q2Copt1,NA,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q11Bopt5,NA,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q7Aopt1,A (Full sentence),Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q11Aopt1,Yes ; on the same table with the drug susceptibility data,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q13Aopt2,2,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q6Aopt3,1,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q13Aopt1,3,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q12Aopt2,2,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q11Bopt4,1,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q13Aopt3,1,Physician,Clinical,Hospital,Physician
ID_04,Yes,Yes,Q2Copt4,NA,Physician,Clinical,Hospital,Physician
ID_05,Yes,Yes,Q9Aopt1,3-letter abbreviation (Ex. INH),Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q20Aopt4,Agree,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q20Aopt3,Strongly Agree,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q8Aopt1,2,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q17Aopt6,5,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q16Aopt3,5,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q6Aopt2,2,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q20Aopt1,Agree,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q22Aopt3,Disagree,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q24Aopt2,2,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q24Aopt1,1,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q18opt1,B (No summary Statement),Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q20Aopt2,Strongly Agree,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q23Aopt1,Agree,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q12Aopt4,3,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q12Aopt3,1,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q8Aopt4,1,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q21Aopt1,Neutral,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q14Aopt1,1,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q17Aopt1,4,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q8Aopt3,3,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q22Aopt1,Disagree,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q22Aopt2,Strongly Agree,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q21Aopt3,Disagree,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q14Aopt2,3,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q5Aopt1,A (with bolding),Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q19opt1,B (Two column),Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q23Aopt2,Strongly Agree,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q6Aopt1,4,Research,Laboratory,Academic Institution,Non-Physician
ID_05,Yes,Yes,Q23Aopt4,Strongly Agree,Research,Laboratory,Academic Institution,Non-Physician
